epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10399.5,1.3073,1.26215,1.46526,0.59266,0.65696,0.68806,0.42487,1.3319,1.15697,1.47134,0.0005941,0.0005941,0.0005941
43,10613.8,1.29864,1.2584,1.45326,0.65766,0.73511,0.73927,0.4428,1.38085,1.13686,1.51464,0.0005842,0.0005842,0.0005842
44,10832.5,1.30963,1.27436,1.46402,0.55364,0.82525,0.77877,0.4746,1.36156,1.0752,1.44132,0.0005743,0.0005743,0.0005743
45,11135.7,1.28029,1.23147,1.44406,0.71713,0.75713,0.8066,0.50539,1.32611,1.10806,1.45156,0.0005644,0.0005644,0.0005644
46,11512.3,1.29929,1.23985,1.45667,0.61056,0.7352,0.72186,0.44739,1.45944,1.21887,1.56339,0.0005545,0.0005545,0.0005545
47,11716.2,1.31066,1.2325,1.45909,0.62723,0.68443,0.7133,0.42654,1.41236,1.15456,1.49958,0.0005446,0.0005446,0.0005446
48,11939.4,1.28187,1.23471,1.42801,0.64126,0.79281,0.80812,0.49959,1.3872,1.05171,1.45188,0.0005347,0.0005347,0.0005347
49,12374,1.28829,1.23797,1.45025,0.65717,0.61397,0.68508,0.40036,1.45719,1.19585,1.55855,0.0005248,0.0005248,0.0005248
50,12578.2,1.29219,1.21204,1.44589,0.66828,0.65566,0.67076,0.39288,1.4708,1.26153,1.53477,0.0005149,0.0005149,0.0005149
51,12783.6,1.2868,1.21362,1.44737,0.5959,0.7026,0.72515,0.41676,1.42797,1.21644,1.46835,0.000505,0.000505,0.000505
52,12987.5,1.27108,1.20026,1.43627,0.54273,0.76439,0.7236,0.45529,1.33986,1.04376,1.45221,0.0004951,0.0004951,0.0004951
53,13192.3,1.26452,1.18715,1.41947,0.69204,0.72861,0.74458,0.44056,1.48012,1.26585,1.5781,0.0004852,0.0004852,0.0004852
54,13397,1.28517,1.20076,1.42743,0.69027,0.78545,0.8072,0.48556,1.43565,1.02777,1.51655,0.0004753,0.0004753,0.0004753
55,13601.7,1.26625,1.21195,1.42644,0.61929,0.81369,0.78661,0.47513,1.49579,1.02355,1.59095,0.0004654,0.0004654,0.0004654
56,13816.1,1.25397,1.14632,1.41597,0.56988,0.77472,0.72435,0.46195,1.32142,1.0918,1.46283,0.0004555,0.0004555,0.0004555
57,14022.7,1.23503,1.15903,1.40998,0.70105,0.72287,0.77012,0.51286,1.34326,1.06303,1.4667,0.0004456,0.0004456,0.0004456
58,14229.1,1.269,1.18119,1.43289,0.65576,0.69755,0.72157,0.42571,1.42743,1.14264,1.49973,0.0004357,0.0004357,0.0004357
59,14436.1,1.24308,1.1577,1.42477,0.71236,0.80434,0.84976,0.4968,1.40521,0.99577,1.45738,0.0004258,0.0004258,0.0004258
60,14642.7,1.24227,1.14327,1.40682,0.66858,0.75445,0.7723,0.45044,1.47091,1.0864,1.57469,0.0004159,0.0004159,0.0004159
61,14849.5,1.24846,1.14123,1.41624,0.65869,0.78313,0.76153,0.44952,1.43315,1.0555,1.54151,0.000406,0.000406,0.000406
62,15056.5,1.22385,1.13735,1.39944,0.58386,0.68747,0.7411,0.45187,1.475,1.13749,1.60055,0.0003961,0.0003961,0.0003961
63,15262.9,1.23098,1.12617,1.40089,0.59015,0.81917,0.77665,0.47332,1.3909,1.05824,1.50235,0.0003862,0.0003862,0.0003862
64,15469.8,1.24688,1.15497,1.41713,0.6946,0.62224,0.69816,0.43122,1.45864,1.17036,1.54702,0.0003763,0.0003763,0.0003763
65,15677.1,1.22661,1.11815,1.40577,0.59219,0.86162,0.76889,0.45432,1.38883,1.09354,1.4885,0.0003664,0.0003664,0.0003664
66,15883.7,1.22135,1.11182,1.39679,0.57013,0.78203,0.75625,0.46166,1.36376,1.16873,1.4514,0.0003565,0.0003565,0.0003565
